,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
0,11 Com,Radial Velocity,,,12h20m43.03s,+17d47m34.3s,4742.0,2.7,19.0
1,11 UMi,Radial Velocity,,,15h17m05.89s,+71d49m26.0s,4213.0,2.78,29.79
2,14 And,Radial Velocity,,,23h31m17.42s,+39d14m10.3s,4813.0,2.2,11.0
3,14 Her,Radial Velocity,,,16h10m24.31s,+43d49m03.5s,5338.0,0.9,0.93
4,16 Cyg B,Radial Velocity,,,19h41m51.97s,+50d31m03.1s,5750.0,1.08,1.13
5,18 Del,Radial Velocity,,,20h58m25.94s,+10d50m21.4s,4979.0,2.3,8.5
6,1RXS J160929.1-210524,Imaging,,,16h09m30.30s,-21d04m58.9s,4060.0,0.85,
7,24 Boo,Radial Velocity,,,14h28m37.81s,+49d50m41.5s,4893.0,0.99,10.64
8,24 Sex,Radial Velocity,,,10h23m28.37s,-00d54m08.1s,5098.0,1.54,4.9
9,24 Sex,Radial Velocity,,,10h23m28.37s,-00d54m08.1s,5098.0,1.54,4.9
10,2MASS J01033563-5515561 A,Imaging,,,01h03m35.63s,-55d15m56.1s,,0.19,
11,2MASS J01225093-2439505,Imaging,,,01h22m50.94s,-24d39m50.6s,3530.0,0.4,
12,2MASS J02192210-3925225,Imaging,,,02h19m22.11s,-39d25m22.5s,3064.0,0.11,0.28
13,2MASS J04414489+2301513,Imaging,,,04h41m44.90s,+23d01m51.4s,,0.02,
14,2MASS J12073346-3932539,Imaging,,,12h07m33.47s,-39d32m54.0s,,0.02,
15,2MASS J19383260+4603591,Eclipse Timing Variations,,,19h38m32.61s,+46d03m59.1s,,0.48,
16,2MASS J21402931+1625183 A,Imaging,46.2,,21h40m29.32s,+16d25m18.3s,2300.0,0.08,0.12
17,2MASS J22362452+4751425,Imaging,,,22h36m24.53s,+47d51m42.6s,4045.0,0.6,
18,30 Ari B,Radial Velocity,,,02h36m57.74s,+24d38m53.0s,6331.0,1.93,1.41
19,4 UMa,Radial Velocity,,,08h40m12.82s,+64d19m40.6s,4415.0,1.23,18.11
20,42 Dra,Radial Velocity,,,18h25m59.14s,+65d33m48.5s,4200.0,0.98,22.03
21,47 UMa,Radial Velocity,,,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23
22,47 UMa,Radial Velocity,,,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23
23,47 UMa,Radial Velocity,,,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23
24,51 Eri,Imaging,133.0,,04h37m36.13s,-02d28m24.8s,,1.75,
25,51 Peg,Radial Velocity,,,22h57m27.98s,+20d46m07.8s,5793.0,1.12,1.2
26,55 Cnc,Radial Velocity,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
27,55 Cnc,Radial Velocity,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
28,55 Cnc,Radial Velocity,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
29,55 Cnc,Radial Velocity,83.3,6.4,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
30,55 Cnc,Radial Velocity,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
31,6 Lyn,Radial Velocity,,,06h30m47.11s,+58d09m45.5s,4938.0,1.44,5.2
32,61 Vir,Radial Velocity,,,13h18m24.32s,-18d18m40.3s,5577.0,0.94,0.96
33,61 Vir,Radial Velocity,,,13h18m24.32s,-18d18m40.3s,5577.0,0.94,0.96
34,61 Vir,Radial Velocity,,,13h18m24.32s,-18d18m40.3s,5577.0,0.94,0.96
35,7 CMa,Radial Velocity,90.0,,06h36m41.04s,-19d15m21.2s,4826.0,1.34,4.87
36,7 CMa,Radial Velocity,90.0,,06h36m41.04s,-19d15m21.2s,4826.0,1.34,4.87
37,70 Vir,Radial Velocity,,,13h28m25.81s,+13d46m43.6s,5495.0,1.09,1.89
38,75 Cet,Radial Velocity,,,02h32m09.42s,-01d02m05.6s,4846.0,2.49,10.5
39,8 UMi,Radial Velocity,,,14h56m48.35s,+74d54m03.3s,4847.0,1.44,10.3
40,81 Cet,Radial Velocity,,,02h37m41.80s,-03d23m46.2s,4785.0,2.4,11.0
41,91 Aqr,Radial Velocity,,,23h15m53.50s,-09d05m15.9s,4665.0,1.4,11.0
42,AB Pic,Imaging,,,06h19m12.91s,-58d03m15.5s,,,
43,alf Ari,Radial Velocity,,,02h07m10.41s,+23d27m44.7s,4553.0,1.5,13.9
44,alf Tau,Radial Velocity,,,04h35m55.24s,+16d30m33.5s,4055.0,1.13,45.1
